,run_id,flow_id,accuracy,f_measure,area_under_roc_curve,average_cost,kappa,kb_relative_information_score,mean_absolute_error,mean_prior_absolute_error,prior_entropy,relative_absolute_error,root_mean_prior_squared_error,root_mean_squared_error,root_relative_squared_error,data_preprocessing,classifier,feature_preprocessing
5221,10255210,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5222,10255218,15083,0.773,0.7614937571473734,0.6911904761904762,0.0,0.41434468524251805,0.4203386113914962,0.227,0.42015968063872167,0.8812914463598482,0.5402707838479821,0.45825774337365466,0.47644516998286385,1.0396882035758193,1,3,1
5223,10255223,15083,0.7709999999999999,0.7593923805583634,0.6888095238095238,0.0,0.4091847265221878,0.41523146259318244,0.229,0.42015968063872167,0.8812914463598482,0.5450308788598587,0.45825774337365466,0.47853944456021597,1.0442582836402263,1,3,1
5224,10255231,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058352,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5225,10255240,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5226,10255248,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058353,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5227,10255251,15083,0.778,0.7665702718334297,0.6966666666666668,0.0,0.4266528925619835,0.4331064833872789,0.222,0.42015968063872167,0.8812914463598482,0.528370546318291,0.45825774337365466,0.47116875957558985,1.0281741364736914,1,3,1
5228,10255256,15083,0.7759999999999999,0.7648232848232849,0.6952380952380952,0.0,0.4226804123711341,0.42799933458896594,0.224,0.42015968063872167,0.8812914463598482,0.5331306413301674,0.45825774337365466,0.4732863826479693,1.0327951671120166,1,3,1
5229,10255264,15083,0.7559999999999999,0.7460572411956322,0.6771428571428572,0.0,0.37881873727087584,0.3769278466058352,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5230,10255270,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5231,10255281,15083,0.772,0.7606237006237007,0.6904761904761905,0.0,0.41237113402061865,0.41778503699233943,0.228,0.42015968063872167,0.8812914463598482,0.5426508313539204,0.45825774337365466,0.4774934554525329,1.0419757491434112,1,3,1
5232,10255288,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5233,10255296,15083,0.775,0.7625030970162461,0.6907142857142857,0.0,0.41588785046728977,0.4254457601898094,0.225,0.42015968063872167,0.8812914463598482,0.5355106888361056,0.45825774337365466,0.4743416490252569,1.0350979462631529,1,3,1
5234,10255298,15083,0.77,0.7581583897373371,0.687142857142857,0.0,0.4059917355371901,0.4126778881940259,0.23,0.42015968063872167,0.8812914463598482,0.5474109263657969,0.45825774337365466,0.47958315233127197,1.0465358398542737,1,3,1
5235,10255305,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5236,10255314,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058353,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5237,10255320,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058353,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5238,10255327,15083,0.774,0.762000877577885,0.690952380952381,0.0,0.41511387163561075,0.4228921857906527,0.226,0.42015968063872167,0.8812914463598482,0.5378907363420439,0.45825774337365466,0.4753945729601885,1.0373956137879394,1,3,1
5239,10255330,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5240,10255343,15083,0.7709999999999999,0.7586558138014449,0.6869047619047619,0.0,0.40673575129533684,0.4152314625931829,0.229,0.42015968063872167,0.8812914463598482,0.5450308788598587,0.45825774337365466,0.47853944456021597,1.0442582836402263,1,3,1
5241,10255348,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058353,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5242,10255351,15083,0.775,0.7632354302990304,0.6926190476190476,0.0,0.41830403309203734,0.4254457601898089,0.225,0.42015968063872167,0.8812914463598482,0.5355106888361056,0.45825774337365466,0.4743416490252569,1.0350979462631529,1,3,1
5243,10255360,15083,0.775,0.7625030970162461,0.6907142857142857,0.0,0.41588785046728977,0.4254457601898094,0.225,0.42015968063872167,0.8812914463598482,0.5355106888361056,0.45825774337365466,0.4743416490252569,1.0350979462631529,1,3,1
5244,10255366,15083,0.774,0.7616330891171033,0.6899999999999998,0.0,0.4139004149377595,0.4228921857906527,0.226,0.42015968063872167,0.8812914463598482,0.5378907363420439,0.45825774337365466,0.4753945729601885,1.0373956137879394,1,3,1
5245,10255371,15083,0.7709999999999999,0.7586558138014449,0.6869047619047619,0.0,0.40673575129533684,0.4152314625931827,0.229,0.42015968063872167,0.8812914463598482,0.5450308788598587,0.45825774337365466,0.47853944456021597,1.0442582836402263,1,3,1
5246,10255380,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058353,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5247,10255385,15083,0.7759999999999999,0.7641070645019745,0.6933333333333334,0.0,0.4202898550724638,0.42799933458896594,0.224,0.42015968063872167,0.8812914463598482,0.5331306413301674,0.45825774337365466,0.4732863826479693,1.0327951671120166,1,3,1
5248,10255392,15083,0.758,0.7481387392186187,0.6795238095238095,0.0,0.3839103869653769,0.38203499540414787,0.242,0.42015968063872167,0.8812914463598482,0.5759714964370558,0.45825774337365466,0.4919349550499537,1.0734896729259178,1,3,1
5249,10255395,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058353,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5250,10255401,15083,0.775,0.7628714327743455,0.6916666666666667,0.0,0.417098445595855,0.42544576018980895,0.225,0.42015968063872167,0.8812914463598482,0.5355106888361056,0.45825774337365466,0.4743416490252569,1.0350979462631529,1,3,1
5251,10255410,15083,0.774,0.762000877577885,0.690952380952381,0.0,0.41511387163561075,0.4228921857906527,0.226,0.42015968063872167,0.8812914463598482,0.5378907363420439,0.45825774337365466,0.4753945729601885,1.0373956137879394,1,3,1
5252,10255418,15083,0.774,0.7623643307853833,0.6919047619047619,0.0,0.4163223140495868,0.4228921857906524,0.226,0.42015968063872167,0.8812914463598482,0.5378907363420439,0.45825774337365466,0.4753945729601885,1.0373956137879394,1,3,1
5253,10255420,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058352,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
